Deal ID,Deal Name,Amount,Deal Stage,Pipeline,Close Date,Contact ID,First Name,Last Name,Email,Phone Number,Lifecycle Stage,Company ID,Company Name,Company Domain,Company Industry,Company Annual Revenue,Activity ID,Activity Type,Activity Date,Activity Subject,Activity Body
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C4,Aisha,Patel,aisha.patel@ionex.net,+1-687-849-6929,MQL,CO9,Ionex,ionex.net,Telecom,62866406,A11,Note,06/03/2025 20:13,Note about Ionex - Solution 5,Internal note: Ionex - Solution 5 prospect seems interested.
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C4,Aisha,Patel,aisha.patel@ionex.net,+1-687-849-6929,MQL,CO9,Ionex,ionex.net,Telecom,62866406,A12,Call,06/17/2025 20:13,Call about Ionex - Solution 5,Called Aisha Patel regarding pricing for Ionex - Solution 5.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C5,Ivy,Olsen,ivy.olsen@photonix.net,+1-864-742-8471,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A13,Meeting,06/02/2025 20:13,Meeting about Photonix - Solution 2,Discussed requirements and next steps for Photonix - Solution 2.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C5,Ivy,Olsen,ivy.olsen@photonix.net,+1-864-742-8471,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A14,Note,06/17/2025 20:13,Note about Photonix - Solution 2,Internal note: Photonix - Solution 2 prospect seems interested.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C5,Ivy,Olsen,ivy.olsen@photonix.net,+1-864-742-8471,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A15,Call,06/22/2025 20:13,Call about Photonix - Solution 2,Called Ivy Olsen regarding pricing for Photonix - Solution 2.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C6,Hassan,Vargas,hassan.vargas@photonix.net,+1-359-779-2986,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A16,Meeting,06/20/2025 20:13,Meeting about Photonix - Solution 2,Discussed requirements and next steps for Photonix - Solution 2.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C6,Hassan,Vargas,hassan.vargas@photonix.net,+1-359-779-2986,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A17,Note,06/25/2025 20:13,Note about Photonix - Solution 2,Internal note: Photonix - Solution 2 prospect seems interested.
D3,Photonix - Solution 2,14456,decisionmakerboughtin,default,08/19/2025,C6,Hassan,Vargas,hassan.vargas@photonix.net,+1-359-779-2986,Lead,CO16,Photonix,photonix.net,Transportation,70167586,A18,Call,06/20/2025 20:13,Call about Photonix - Solution 2,Called Hassan Vargas regarding pricing for Photonix - Solution 2.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C7,Farooq,Shah,farooq.shah@dynamoinc.net,+1-700-709-1468,Customer,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A19,Meeting,06/19/2025 20:13,Meeting about Dynamo Inc - Solution 5,Discussed requirements and next steps for Dynamo Inc - Solution 5.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C7,Farooq,Shah,farooq.shah@dynamoinc.net,+1-700-709-1468,Customer,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A20,Note,05/26/2025 20:13,Note about Dynamo Inc - Solution 5,Internal note: Dynamo Inc - Solution 5 prospect seems interested.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C7,Farooq,Shah,farooq.shah@dynamoinc.net,+1-700-709-1468,Customer,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A21,Call,06/20/2025 20:13,Call about Dynamo Inc - Solution 5,Called Farooq Shah regarding pricing for Dynamo Inc - Solution 5.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C8,Xena,Xavier,xena.xavier@dynamoinc.net,+1-216-461-4390,MQL,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A22,Meeting,06/11/2025 20:13,Meeting about Dynamo Inc - Solution 5,Discussed requirements and next steps for Dynamo Inc - Solution 5.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C8,Xena,Xavier,xena.xavier@dynamoinc.net,+1-216-461-4390,MQL,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A23,Note,06/15/2025 20:13,Note about Dynamo Inc - Solution 5,Internal note: Dynamo Inc - Solution 5 prospect seems interested.
D4,Dynamo Inc - Solution 5,31015,contractsent,default,10/12/2025,C8,Xena,Xavier,xena.xavier@dynamoinc.net,+1-216-461-4390,MQL,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A24,Call,06/24/2025 20:13,Call about Dynamo Inc - Solution 5,Called Xena Xavier regarding pricing for Dynamo Inc - Solution 5.
D5,Dynamo Inc - Solution 5,18277,closedwon,default,08/30/2025,C9,Grace,Olsen,grace.olsen@dynamoinc.net,+1-950-811-3887,Lead,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A25,Meeting,06/12/2025 20:13,Meeting about Dynamo Inc - Solution 5,Discussed requirements and next steps for Dynamo Inc - Solution 5.
D5,Dynamo Inc - Solution 5,18277,closedwon,default,08/30/2025,C9,Grace,Olsen,grace.olsen@dynamoinc.net,+1-950-811-3887,Lead,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A26,Note,06/24/2025 20:13,Note about Dynamo Inc - Solution 5,Internal note: Dynamo Inc - Solution 5 prospect seems interested.
D5,Dynamo Inc - Solution 5,18277,closedwon,default,08/30/2025,C9,Grace,Olsen,grace.olsen@dynamoinc.net,+1-950-811-3887,Lead,CO4,Dynamo Inc,dynamoinc.net,Manufacturing,62538055,A27,Call,06/19/2025 20:13,Call about Dynamo Inc - Solution 5,Called Grace Olsen regarding pricing for Dynamo Inc - Solution 5.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C10,Ivy,Hussain,ivy.hussain@quantumquotient.io,+1-640-336-1870,Lead,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A28,Meeting,06/17/2025 20:13,Meeting about Quantum Quotient - Solution 4,Discussed requirements and next steps for Quantum Quotient - Solution 4.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C10,Ivy,Hussain,ivy.hussain@quantumquotient.io,+1-640-336-1870,Lead,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A29,Note,05/26/2025 20:13,Note about Quantum Quotient - Solution 4,Internal note: Quantum Quotient - Solution 4 prospect seems interested.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C10,Ivy,Hussain,ivy.hussain@quantumquotient.io,+1-640-336-1870,Lead,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A30,Call,06/12/2025 20:13,Call about Quantum Quotient - Solution 4,Called Ivy Hussain regarding pricing for Quantum Quotient - Solution 4.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C11,Olivia,Iqbal,olivia.iqbal@quantumquotient.io,+1-868-526-4334,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A31,Meeting,06/24/2025 20:13,Meeting about Quantum Quotient - Solution 4,Discussed requirements and next steps for Quantum Quotient - Solution 4.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C11,Olivia,Iqbal,olivia.iqbal@quantumquotient.io,+1-868-526-4334,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A32,Note,06/21/2025 20:13,Note about Quantum Quotient - Solution 4,Internal note: Quantum Quotient - Solution 4 prospect seems interested.
D6,Quantum Quotient - Solution 4,10814,qualifiedtobuy,default,07/11/2025,C11,Olivia,Iqbal,olivia.iqbal@quantumquotient.io,+1-868-526-4334,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A33,Call,06/20/2025 20:13,Call about Quantum Quotient - Solution 4,Called Olivia Iqbal regarding pricing for Quantum Quotient - Solution 4.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C12,Hassan,Ahmed,hassan.ahmed@orionops.com,+1-357-537-6769,Customer,CO15,Orion Ops,orionops.com,Healthcare,93644676,A34,Meeting,05/30/2025 20:13,Meeting about Orion Ops - Solution 5,Discussed requirements and next steps for Orion Ops - Solution 5.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C12,Hassan,Ahmed,hassan.ahmed@orionops.com,+1-357-537-6769,Customer,CO15,Orion Ops,orionops.com,Healthcare,93644676,A35,Note,06/05/2025 20:13,Note about Orion Ops - Solution 5,Internal note: Orion Ops - Solution 5 prospect seems interested.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C12,Hassan,Ahmed,hassan.ahmed@orionops.com,+1-357-537-6769,Customer,CO15,Orion Ops,orionops.com,Healthcare,93644676,A36,Call,06/24/2025 20:13,Call about Orion Ops - Solution 5,Called Hassan Ahmed regarding pricing for Orion Ops - Solution 5.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C13,Xena,Zaidi,xena.zaidi@orionops.com,+1-690-913-9264,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A37,Meeting,06/18/2025 20:13,Meeting about Orion Ops - Solution 5,Discussed requirements and next steps for Orion Ops - Solution 5.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C13,Xena,Zaidi,xena.zaidi@orionops.com,+1-690-913-9264,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A38,Note,06/21/2025 20:13,Note about Orion Ops - Solution 5,Internal note: Orion Ops - Solution 5 prospect seems interested.
D7,Orion Ops - Solution 5,20492,appointmentscheduled,default,08/16/2025,C13,Xena,Zaidi,xena.zaidi@orionops.com,+1-690-913-9264,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A39,Call,06/19/2025 20:13,Call about Orion Ops - Solution 5,Called Xena Zaidi regarding pricing for Orion Ops - Solution 5.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C14,Quentin,Zaidi,quentin.zaidi@orionops.com,+1-712-935-9019,MQL,CO15,Orion Ops,orionops.com,Healthcare,93644676,A40,Meeting,06/16/2025 20:13,Meeting about Orion Ops - Solution 4,Discussed requirements and next steps for Orion Ops - Solution 4.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C14,Quentin,Zaidi,quentin.zaidi@orionops.com,+1-712-935-9019,MQL,CO15,Orion Ops,orionops.com,Healthcare,93644676,A41,Note,06/02/2025 20:13,Note about Orion Ops - Solution 4,Internal note: Orion Ops - Solution 4 prospect seems interested.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C14,Quentin,Zaidi,quentin.zaidi@orionops.com,+1-712-935-9019,MQL,CO15,Orion Ops,orionops.com,Healthcare,93644676,A42,Call,06/18/2025 20:13,Call about Orion Ops - Solution 4,Called Quentin Zaidi regarding pricing for Orion Ops - Solution 4.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C15,Umair,Diaz,umair.diaz@orionops.com,+1-210-685-4547,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A43,Meeting,06/06/2025 20:13,Meeting about Orion Ops - Solution 4,Discussed requirements and next steps for Orion Ops - Solution 4.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C15,Umair,Diaz,umair.diaz@orionops.com,+1-210-685-4547,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A44,Note,06/04/2025 20:13,Note about Orion Ops - Solution 4,Internal note: Orion Ops - Solution 4 prospect seems interested.
D8,Orion Ops - Solution 4,35609,qualifiedtobuy,default,09/28/2025,C15,Umair,Diaz,umair.diaz@orionops.com,+1-210-685-4547,Lead,CO15,Orion Ops,orionops.com,Healthcare,93644676,A45,Call,06/01/2025 20:13,Call about Orion Ops - Solution 4,Called Umair Diaz regarding pricing for Orion Ops - Solution 4.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C16,Ivy,Qureshi,ivy.qureshi@gammaventures.com,+1-960-198-7888,MQL,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A46,Meeting,06/15/2025 20:13,Meeting about Gamma Ventures - Solution 4,Discussed requirements and next steps for Gamma Ventures - Solution 4.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C16,Ivy,Qureshi,ivy.qureshi@gammaventures.com,+1-960-198-7888,MQL,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A47,Note,06/25/2025 20:13,Note about Gamma Ventures - Solution 4,Internal note: Gamma Ventures - Solution 4 prospect seems interested.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C16,Ivy,Qureshi,ivy.qureshi@gammaventures.com,+1-960-198-7888,MQL,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A48,Call,05/29/2025 20:13,Call about Gamma Ventures - Solution 4,Called Ivy Qureshi regarding pricing for Gamma Ventures - Solution 4.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C17,Grace,Hussain,grace.hussain@gammaventures.com,+1-548-792-7193,Customer,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A49,Meeting,06/23/2025 20:13,Meeting about Gamma Ventures - Solution 4,Discussed requirements and next steps for Gamma Ventures - Solution 4.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C17,Grace,Hussain,grace.hussain@gammaventures.com,+1-548-792-7193,Customer,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A50,Note,06/09/2025 20:13,Note about Gamma Ventures - Solution 4,Internal note: Gamma Ventures - Solution 4 prospect seems interested.
D9,Gamma Ventures - Solution 4,5450,qualifiedtobuy,default,07/19/2025,C17,Grace,Hussain,grace.hussain@gammaventures.com,+1-548-792-7193,Customer,CO7,Gamma Ventures,gammaventures.com,Software,18539421,A51,Call,06/25/2025 20:13,Call about Gamma Ventures - Solution 4,Called Grace Hussain regarding pricing for Gamma Ventures - Solution 4.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C18,Jamal,Williams,jamal.williams@joviananalytics.net,+1-924-823-7587,MQL,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A52,Meeting,06/20/2025 20:13,Meeting about Jovian Analytics - Solution 1,Discussed requirements and next steps for Jovian Analytics - Solution 1.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C18,Jamal,Williams,jamal.williams@joviananalytics.net,+1-924-823-7587,MQL,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A53,Note,06/02/2025 20:13,Note about Jovian Analytics - Solution 1,Internal note: Jovian Analytics - Solution 1 prospect seems interested.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C18,Jamal,Williams,jamal.williams@joviananalytics.net,+1-924-823-7587,MQL,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A54,Call,06/23/2025 20:13,Call about Jovian Analytics - Solution 1,Called Jamal Williams regarding pricing for Jovian Analytics - Solution 1.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C19,Maya,Iqbal,maya.iqbal@joviananalytics.net,+1-453-569-6528,Lead,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A55,Meeting,06/15/2025 20:13,Meeting about Jovian Analytics - Solution 1,Discussed requirements and next steps for Jovian Analytics - Solution 1.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C19,Maya,Iqbal,maya.iqbal@joviananalytics.net,+1-453-569-6528,Lead,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A56,Note,06/06/2025 20:13,Note about Jovian Analytics - Solution 1,Internal note: Jovian Analytics - Solution 1 prospect seems interested.
D10,Jovian Analytics - Solution 1,47654,decisionmakerboughtin,default,06/11/2025,C19,Maya,Iqbal,maya.iqbal@joviananalytics.net,+1-453-569-6528,Lead,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A57,Call,06/12/2025 20:13,Call about Jovian Analytics - Solution 1,Called Maya Iqbal regarding pricing for Jovian Analytics - Solution 1.
D11,Monarch Media - Solution 1,3265,appointmentscheduled,default,10/15/2025,C20,Zara,Lewis,zara.lewis@monarchmedia.com,+1-861-512-7610,MQL,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A58,Meeting,06/18/2025 20:13,Meeting about Monarch Media - Solution 1,Discussed requirements and next steps for Monarch Media - Solution 1.
D11,Monarch Media - Solution 1,3265,appointmentscheduled,default,10/15/2025,C20,Zara,Lewis,zara.lewis@monarchmedia.com,+1-861-512-7610,MQL,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A59,Note,06/06/2025 20:13,Note about Monarch Media - Solution 1,Internal note: Monarch Media - Solution 1 prospect seems interested.
D11,Monarch Media - Solution 1,3265,appointmentscheduled,default,10/15/2025,C20,Zara,Lewis,zara.lewis@monarchmedia.com,+1-861-512-7610,MQL,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A60,Call,06/11/2025 20:13,Call about Monarch Media - Solution 1,Called Zara Lewis regarding pricing for Monarch Media - Solution 1.
D12,Quantum Quotient - Solution 4,27554,contractsent,default,08/21/2025,C21,Maya,Jackson,maya.jackson@quantumquotient.io,+1-684-338-2868,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A61,Meeting,06/02/2025 20:13,Meeting about Quantum Quotient - Solution 4,Discussed requirements and next steps for Quantum Quotient - Solution 4.
D12,Quantum Quotient - Solution 4,27554,contractsent,default,08/21/2025,C21,Maya,Jackson,maya.jackson@quantumquotient.io,+1-684-338-2868,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A62,Note,06/02/2025 20:13,Note about Quantum Quotient - Solution 4,Internal note: Quantum Quotient - Solution 4 prospect seems interested.
D12,Quantum Quotient - Solution 4,27554,contractsent,default,08/21/2025,C21,Maya,Jackson,maya.jackson@quantumquotient.io,+1-684-338-2868,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A63,Call,06/09/2025 20:13,Call about Quantum Quotient - Solution 4,Called Maya Jackson regarding pricing for Quantum Quotient - Solution 4.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C22,Yusuf,Turner,yusuf.turner@monarchmedia.com,+1-630-323-2089,Lead,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A64,Meeting,06/05/2025 20:13,Meeting about Monarch Media - Solution 2,Discussed requirements and next steps for Monarch Media - Solution 2.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C22,Yusuf,Turner,yusuf.turner@monarchmedia.com,+1-630-323-2089,Lead,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A65,Note,06/23/2025 20:13,Note about Monarch Media - Solution 2,Internal note: Monarch Media - Solution 2 prospect seems interested.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C22,Yusuf,Turner,yusuf.turner@monarchmedia.com,+1-630-323-2089,Lead,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A66,Call,05/31/2025 20:13,Call about Monarch Media - Solution 2,Called Yusuf Turner regarding pricing for Monarch Media - Solution 2.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C23,Farooq,Brown,farooq.brown@monarchmedia.com,+1-678-532-1973,Customer,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A67,Meeting,06/06/2025 20:13,Meeting about Monarch Media - Solution 2,Discussed requirements and next steps for Monarch Media - Solution 2.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C23,Farooq,Brown,farooq.brown@monarchmedia.com,+1-678-532-1973,Customer,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A68,Note,06/09/2025 20:13,Note about Monarch Media - Solution 2,Internal note: Monarch Media - Solution 2 prospect seems interested.
D13,Monarch Media - Solution 2,6555,appointmentscheduled,default,05/25/2025,C23,Farooq,Brown,farooq.brown@monarchmedia.com,+1-678-532-1973,Customer,CO13,Monarch Media,monarchmedia.com,Healthcare,30518460,A69,Call,06/17/2025 20:13,Call about Monarch Media - Solution 2,Called Farooq Brown regarding pricing for Monarch Media - Solution 2.
D14,FluxTech - Solution 1,10486,qualifiedtobuy,default,03/06/2025,C24,Farooq,Shah,farooq.shah@fluxtech.com,+1-993-894-2925,Lead,CO6,FluxTech,fluxtech.com,Transportation,70324293,A70,Meeting,05/29/2025 20:13,Meeting about FluxTech - Solution 1,Discussed requirements and next steps for FluxTech - Solution 1.
D14,FluxTech - Solution 1,10486,qualifiedtobuy,default,03/06/2025,C24,Farooq,Shah,farooq.shah@fluxtech.com,+1-993-894-2925,Lead,CO6,FluxTech,fluxtech.com,Transportation,70324293,A71,Note,06/07/2025 20:13,Note about FluxTech - Solution 1,Internal note: FluxTech - Solution 1 prospect seems interested.
D14,FluxTech - Solution 1,10486,qualifiedtobuy,default,03/06/2025,C24,Farooq,Shah,farooq.shah@fluxtech.com,+1-993-894-2925,Lead,CO6,FluxTech,fluxtech.com,Transportation,70324293,A72,Call,05/31/2025 20:13,Call about FluxTech - Solution 1,Called Farooq Shah regarding pricing for FluxTech - Solution 1.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C25,Hassan,Iqbal,hassan.iqbal@kappadynamics.com,+1-638-945-7059,Customer,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A73,Meeting,06/05/2025 20:13,Meeting about Kappa Dynamics - Solution 4,Discussed requirements and next steps for Kappa Dynamics - Solution 4.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C25,Hassan,Iqbal,hassan.iqbal@kappadynamics.com,+1-638-945-7059,Customer,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A74,Note,06/21/2025 20:13,Note about Kappa Dynamics - Solution 4,Internal note: Kappa Dynamics - Solution 4 prospect seems interested.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C25,Hassan,Iqbal,hassan.iqbal@kappadynamics.com,+1-638-945-7059,Customer,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A75,Call,06/18/2025 20:13,Call about Kappa Dynamics - Solution 4,Called Hassan Iqbal regarding pricing for Kappa Dynamics - Solution 4.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C26,Quentin,Lewis,quentin.lewis@kappadynamics.com,+1-969-851-5029,MQL,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A76,Meeting,05/26/2025 20:13,Meeting about Kappa Dynamics - Solution 4,Discussed requirements and next steps for Kappa Dynamics - Solution 4.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C26,Quentin,Lewis,quentin.lewis@kappadynamics.com,+1-969-851-5029,MQL,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A77,Note,06/06/2025 20:13,Note about Kappa Dynamics - Solution 4,Internal note: Kappa Dynamics - Solution 4 prospect seems interested.
D15,Kappa Dynamics - Solution 4,44273,closedwon,default,03/23/2025,C26,Quentin,Lewis,quentin.lewis@kappadynamics.com,+1-969-851-5029,MQL,CO11,Kappa Dynamics,kappadynamics.com,Software,97628533,A78,Call,06/16/2025 20:13,Call about Kappa Dynamics - Solution 4,Called Quentin Lewis regarding pricing for Kappa Dynamics - Solution 4.
D16,Jovian Analytics - Solution 5,22612,appointmentscheduled,default,03/25/2025,C27,Maya,Zaidi,maya.zaidi@joviananalytics.net,+1-417-894-5543,MQL,CO10,Jovian Analytics,joviananalytics.net,Retail,29297695,A79,Meeting,06/09/2025 20:13,Meeting about Jovian Analytics - Solution 5,Discussed requirements and next steps for Jovian Analytics - Solution 5.
